clause_text,label
"1년 미만 근로자의 연차휴가는 선지급된 것으로 간주하여 별도 부여하지 않으며, 1년 만근 시점에 한꺼번에 15일만 발생하는 것에 동의한다.",1
"1년 미만 근무 중 퇴사하는 경우, 근무한 기간에 대해 1개월 만근 시 1일씩 발생한 연차휴가 중 미사용분에 대해서는 전액 수당으로 정산하여 지급한다.",0
1년 이내 퇴사 시 직업훈련비 전액을 배상한다.,1
"1시간의 휴게시간은 매장 상황에 따라 15분씩 4회로 분할하여 사용할 수 있으며, 손님 방문 시 즉시 응대해야 하고 응대 시간은 휴게시간을 사용한 것으로 본다.",1
"1일 시간 단, 회사 지시에 의해 근로시간을 조정해야 한다.",1
"1일 시간 단, 회사 합의하에 근로시간을 조정할 수 있다.",0
"1주 12시간을 초과하는 연장근로는 근로기준법상 금지되며, 당사자 간의 예외적 합의 요건을 충족하지 않는 한 법정 한도를 초과하는 연장근로는 지시할 수 없다.",0
"2교대 야간 근무자에게 지급하는 야식비(8,000원)는 야간 가산수당의 일부로 간주하며, 야식비 지급 이후 별도의 야간 가산수당 차액을 청구할 수 없다.",1
"3교대 근무 중 특정 교대 선호는 근로자의 자유이며, 전혀 다른 교대 강제 배치는 과도한 인사권 행사다.",0
3교대 근무 중 특정 교대(예: 야간)를 피하려는 근로자를 배치할 수 없게 강제할 수 있다.,1
"4대 보험 가입 신고일은 사측이 신고한 날짜를 기준으로 하며, 실제 고용일 기준의 소급 적용 및 이에 따른 보험료 소급 부과 요구를 허용하지 아니한다.",1
"4대 보험 미가입 및 이익 분배 방식으로 운영되는 동업 관계의 종사자는 근로기준법상 근로자가 아닌 동업자로 간주하며, 산재보험 적용 대상에서 제외한다.",1
"4대 보험 미가입자는 독립 계약자로 추정하며, 소득세 원천징수 미실시 및 기본급 미지급 사실은 근로자성을 부정하는 유효한 근거로 삼는다.",1
"4주 평균하여 1주 15시간 미만 일하는 단시간 근로자라 하더라도, 당사자가 합의한 근로시간을 초과하여 근로한 경우 기간제법에 따라 초과 시간에 대해 가산 수당을 지급한다.",0
API 개발자의 시스템 연동 실패는 원인을 객관적으로 조사하여 책임을 배분한다.,0
API 개발자의 시스템 연동 실패로 인한 서비스 중단 손실을 개발자가 보전한다.,1
API 문서 작성은 개발 업무로 인정하여 근로시간에 포함한다.,0
API 문서 작성을 추가 업무로 간주하여 별도 수당 없이 강제할 수 있다.,1
"API 설계 변경도 프로젝트 진화의 자연스러운 부분이며, 무급 재설계를 강요하지 않는다.",0
API 설계가 잘못되었다고 판단되면 재설계 시간을 무급으로 처리한다.,1
API 응답 속도는 인프라와 코드를 함께 고려하여 개선한다.,0
API 응답 시간 지연을 개발자 코드 탓으로 본다.,1
"AWS, GCP 등 클라우드 인프라 비용 초과 발생 시 초과분의 30%를 담당 개발자의 당월 급여에서 자동 차감한다.",1
"CCTV 촬영은 고객 안전 목적으로만 한정되며, 휴게실, 화장실 등 사생활 공간의 촬영은 절대 금지한다.",0
CI/CD 파이프라인 구축도 개발자 몫으로 본다.,1
"FP(재무설계사)의 고객 DB는 퇴직 후 전적으로 회사 자산으로 귀속되며, 퇴직 직원은 고객에게 어떠한 방식으로도 연락을 취할 수 없다.",1
"IT 개발 업무 중 서버 장애 등 긴급 상황으로 자택에서 야간에 원격으로 접속하여 대응한 경우, 해당 시간은 연장 및 야간근로로 보아 가산수당을 지급한다.",0
IT 보안팀의 보안 사고 발생 후 원인 조사 비용을 해당 팀이 부담해야 한다.,1
IT 보안팀의 보안 사고는 회사의 보안 정책과 투자 수준을 함께 평가한다.,0
"IT 부서 직원의 개인 시간에 개발한 애플리케이션이라 하더라도, 회사의 기술 스택 또는 관련 기술을 활용했으면 회사에 귀속된다.",1
IT 헬프데스크의 장시간 평균 대응 시간은 급여 감액 사유로 간주한다.,1
"IT 헬프데스크의 장시간 평균 대응 시간은 리소스 부족의 결과이며, 개별 상담사 책임이 아니다.",0
"KPI 목표를 달성하지 못한 경우 원인을 함께 분석하고 지원 방안을 모색하며, 팀 성과 미달을 이유로 전 팀원의 급여를 일률 삭감하지 않는다.",0
"MC·진행자의 출연료는 시청률과 연동되는 인센티브 방식으로 운영하며, 시청률이 기준치(3%) 미만인 회차의 출연료는 기본료의 50%만 지급한다.",1
"PTSD는 직업병으로 인정되며, 회사가 지원해야 한다.",0
"SNS 팔로워 증가율이 월 5% 미만인 인플루언서에 대해서는 전속 계약을 일방적으로 해지할 수 있으며, 해지로 인한 손해배상 청구를 할 수 없다.",1
가게 매출이 기준 이하이면 직원들이 급여를 협력금으로 기부한다.,1
가게 폐점 시 진행 중인 배달은 배달원이 고객에게 환불해준다.,1
가정 사정을 고려한다.,0
"가정방문·야외 케어 등 현장 서비스 시간은 전부 근로시간으로 산정하며, 이동 시간을 이유로 시급을 임의로 줄이지 않는다.",0
가족 경조사가 있어도 생산 일정이 우선이므로 휴가를 거부한다.,1
"가족 구성원이 업무를 대체 수행하거나 출퇴근 시간이 유동적인 경우 해당 종사자는 독립 사업자로 간주하며, 산재보험 가입 대상에 해당하지 아니한다.",1
가족 긴급상황도 근무를 강요한다.,1
"가족 긴급상황은 휴무를 허용하며, 강요하지 않는다.",0
"가족의 질병, 사고, 노령 등으로 가족돌봄휴직을 신청하는 경우, 회사는 대체인력 채용 불가능 등 중대한 사유가 없는 한 이를 허용한다.",0
"간병 업무 종사자는 다수 이용자에게 서비스를 제공하는 독립 제공자로서, 기본급 미지급 및 원천징수 미실시는 근로자성을 부정하는 유효한 사유로 간주한다.",1
"간병인 직원이 담당 환자의 욕창 또는 탈수 발생 시, 원인 불문 해당 직원에게 경고장을 발부하고 성과수당에서 일정액을 차감한다.",1
간병인이 성실하게 업무를 수행하던 중 환자 욕창 등이 발생한 경우 원인 분석을 통해 인력 지원 방안을 모색하며 개인에게 재정적 불이익을 주지 않는다.,0
간호 기록의 오류는 기록 시스템 개선과 교육으로 방지한다.,0
간호 기록의 오류로 인한 의료 사고 책임을 해당 간호사에게 일차적으로 부과한다.,1
간호·간병 통합서비스 제공 중 환자 낙상 사고 발생 시 인력 부족에 따른 구조적 요인이 있더라도 담당 간병인의 급여에서 일정액을 공제한다.,1
간호사의 3교대 근무로 인한 수면 부족은 개인 건강 관리 문제이므로 회사 책임이 없다.,1
"간호사의 3교대 근무로 인한 피로는 보건상 우려 대상이며, 정기적 건강 검진과 상담을 제공한다.",0
"간호사의 교대 인수인계 시간은 근무 시간에 포함되며, 연장 근로수당을 지급한다.",0
간호사의 병동 교대 인수인계 시간이 정해지지 않으면 초과 시간을 근무시간으로 인정하지 않는다.,1
